date,神,広,デ,巨,ヤ,中,オ,ロ,ソ,楽,西,日
2026-03-26,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
2026-03-27,1492.00,1508.00,1492.00,1508.00,1508.00,1492.00,1492.00,1508.00,1508.00,1508.00,1492.00,1492.00
2026-03-28,1500.37,1515.63,1484.37,1499.63,1515.63,1484.37,1500.37,1515.63,1515.63,1499.63,1484.37,1484.37
2026-03-29,1508.35,1522.91,1477.09,1491.65,1522.91,1477.09,1508.35,1506.91,1522.91,1491.65,1493.09,1477.09
2026-03-31,1515.63,1514.91,1469.80,1499.31,1530.91,1469.42,1500.00,1498.23,1530.20,1484.37,1501.44,1485.77
2026-04-01,1506.58,1514.91,1478.85,1506.63,1530.91,1462.11,1508.03,1505.94,1537.15,1477.42,1493.40,1478.06
2026-04-02,1513.95,1507.28,1471.49,1497.61,1538.55,1471.13,1515.70,1497.30,1527.78,1486.78,1485.74,1486.70
2026-04-03,1521.79,1499.44,1480.09,1489.01,1529.01,1480.66,1507.03,1506.00,1519.08,1494.75,1477.76,1495.36
2026-04-04,1529.28,1491.95,1472.30,1496.80,1535.91,1473.77,1498.76,1498.30,1526.78,1502.36,1470.16,1503.63
2026-04-05,1520.42,1500.81,1464.86,1504.24,1542.49,1467.18,1490.87,1490.96,1534.13,1501.62,1470.90,1511.52
2026-04-07,1528.93,1508.88,1472.91,1496.16,1533.98,1459.13,1498.88,1482.96,1524.69,1509.85,1480.34,1503.29
2026-04-08,1521.05,1500.59,1464.60,1504.45,1541.87,1467.45,1506.51,1475.32,1515.67,1501.70,1489.35,1511.44
2026-04-09,1529.53,1500.59,1464.60,1504.45,1533.39,1467.45,1513.79,1468.04,1523.07,1493.92,1481.96,1519.22
2026-04-10,1536.11,1500.59,1464.60,1513.12,1524.72,1460.86,1513.79,1476.36,1523.07,1493.92,1473.64,1519.22
2026-04-11,1542.41,1491.77,1473.42,1505.38,1532.46,1454.57,1505.34,1468.30,1530.98,1502.38,1481.70,1511.31
2026-04-12,1548.42,1483.34,1481.84,1498.01,1539.83,1448.55,1497.27,1460.60,1538.53,1510.45,1489.39,1503.76
2026-04-14,1539.27,1474.55,1475.17,1507.16,1546.51,1457.35,1505.09,1453.59,1529.88,1519.09,1481.57,1510.77
2026-04-15,1539.27,1482.15,1475.17,1507.16,1546.51,1449.74,1512.55,1462.90,1521.63,1527.34,1474.11,1501.47
2026-04-16,1530.53,1482.15,1468.79,1515.90,1552.89,1449.74,1519.66,1471.78,1529.77,1519.21,1466.99,1492.58
2026-04-17,1536.71,1473.84,1477.09,1524.75,1544.04,1443.57,1527.90,1464.87,1521.53,1526.13,1475.58,1483.99
2026-04-18,1542.61,1465.92,1485.02,1517.19,1551.60,1437.66,1519.75,1458.26,1529.68,1532.73,1467.78,1491.80
2026-04-19,1548.27,1458.36,1492.58,1509.98,1558.81,1432.01,1527.98,1467.95,1521.45,1523.04,1476.33,1483.25
2026-04-21,1539.00,1468.61,1501.85,1516.21,1548.56,1425.78,1518.61,1477.32,1512.42,1514.13,1485.36,1492.16
2026-04-22,1530.14,1462.42,1510.70,1522.18,1554.75,1419.81,1525.66,1470.27,1503.80,1505.62,1493.98,1500.67
2026-04-23,1530.14,1456.49,1510.70,1522.18,1560.67,1419.81,1525.66,1470.27,1511.57,1513.51,1486.21,1492.78
2026-04-24,1530.14,1456.49,1518.97,1513.91,1549.59,1430.89,1532.91,1470.27,1511.57,1513.51,1486.21,1485.54
2026-04-25,1528.47,1458.16,1510.85,1522.03,1538.96,1441.52,1539.83,1479.21,1502.62,1504.88,1494.84,1478.62
2026-04-26,1534.88,1451.76,1503.11,1529.77,1528.78,1451.71,1546.43,1479.21,1502.62,1496.65,1503.07,1472.01
2026-04-28,1526.73,1461.53,1493.93,1520.00,1536.92,1460.88,1537.43,1487.61,1511.63,1488.25,1494.35,1480.73
2026-04-29,1534.97,1454.86,1501.17,1526.67,1528.68,1453.64,1544.83,1495.63,1504.22,1480.24,1502.04,1473.04
2026-04-30,1542.82,1464.49,1508.09,1517.04,1520.83,1446.73,1544.83,1495.63,1504.22,1480.24,1493.37,1481.71
2026-05-01,1534.23,1472.08,1500.38,1525.63,1528.53,1439.14,1535.40,1487.58,1511.67,1472.79,1501.43,1491.15
2026-05-02,1542.03,1463.33,1493.03,1517.83,1535.89,1447.89,1542.38,1479.90,1518.78,1465.68,1509.11,1484.16
2026-05-03,1549.48,1463.33,1502.01,1510.39,1526.91,1447.89,1533.05,1488.57,1509.56,1474.89,1500.44,1493.49
2026-05-04,1539.20,1456.21,1509.12,1502.77,1534.53,1458.17,1540.04,1481.59,1501.35,1483.32,1508.65,1485.06
2026-05-05,1529.37,1457.42,1507.91,1511.50,1525.80,1468.00,1546.70,1474.92,1509.52,1491.36,1500.48,1477.02
2026-05-06,1535.97,1466.58,1498.76,1503.83,1533.47,1461.40,1553.07,1468.55,1501.31,1483.03,1508.69,1485.35
2026-05-08,1527.12,1460.10,1507.61,1494.85,1539.95,1470.37,1559.53,1461.30,1508.56,1475.62,1516.10,1478.89
2026-05-09,1518.67,1453.91,1516.06,1486.29,1546.14,1478.93,1549.71,1470.38,1499.48,1468.55,1523.17,1488.71
2026-05-10,1526.61,1463.98,1508.12,1494.12,1536.06,1471.10,1540.32,1463.05,1506.81,1461.79,1529.92,1498.10
2026-05-12,1534.83,1456.67,1515.27,1501.43,1527.85,1463.95,1546.54,1455.86,1499.34,1455.57,1537.39,1505.30
2026-05-13,1526.67,1449.70,1522.10,1508.40,1536.01,1457.13,1546.54,1448.99,1492.22,1455.57,1544.52,1512.17
2026-05-14,1526.67,1449.70,1520.62,1508.40,1536.01,1458.60,1536.49,1458.43,1492.22,1465.62,1544.52,1502.73
2026-05-15,1516.92,1459.44,1512.34,1516.69,1542.25,1452.36,1526.72,1468.19,1483.60,1474.23,1551.56,1495.69
2026-05-16,1523.61,1452.75,1504.44,1524.59,1532.23,1462.38,1517.39,1477.53,1475.39,1482.45,1542.28,1504.96
2026-05-17,1514.00,1462.36,1496.90,1532.12,1538.64,1455.97,1508.48,1486.44,1483.55,1474.28,1549.43,1497.82
2026-05-19,1520.68,1471.16,1488.11,1540.27,1530.49,1449.29,1515.90,1479.88,1476.12,1466.83,1555.99,1505.28
2026-05-20,1527.06,1463.55,1495.72,1540.27,1530.49,1442.91,1522.99,1489.60,1469.04,1459.71,1546.27,1512.40
2026-05-21,1527.06,1472.28,1486.98,1532.05,1538.72,1442.91,1522.99,1489.60,1469.04,1459.71,1546.27,1512.40
2026-05-22,1535.17,1463.61,1486.98,1523.93,1538.72,1451.59,1531.53,1496.92,1478.03,1452.39,1537.73,1503.40
2026-05-23,1542.91,1471.33,1480.16,1516.19,1545.53,1443.87,1523.67,1503.90,1486.61,1445.41,1545.59,1494.82
2026-05-24,1550.30,1478.70,1489.65,1508.81,1536.05,1436.50,1516.17,1494.56,1494.80,1454.75,1553.09,1486.63
2026-05-26,1540.85,1471.07,1482.26,1500.48,1528.44,1444.92,1523.56,1502.20,1503.12,1446.33,1560.69,1496.08
2026-05-27,1531.82,1463.78,1475.21,1508.54,1529.18,1452.95,1530.62,1509.48,1495.06,1438.30,1559.95,1505.11
2026-05-28,1523.21,1456.83,1484.47,1500.23,1521.89,1460.61,1521.35,1516.44,1503.37,1430.63,1567.25,1513.72
2026-05-29,1531.05,1449.89,1478.34,1508.54,1527.83,1470.00,1511.97,1508.59,1510.31,1424.69,1573.38,1505.41
2026-05-30,1538.54,1443.27,1472.48,1516.47,1533.52,1462.96,1519.01,1501.11,1516.93,1418.99,1579.24,1497.48
2026-05-31,1529.68,1436.94,1482.86,1508.03,1538.98,1456.24,1525.73,1509.97,1523.26,1413.54,1568.86,1505.92
2026-06-02,1529.68,1436.94,1473.29,1516.44,1530.31,1449.76,1517.32,1518.63,1529.73,1423.12,1568.86,1505.92
2026-06-03,1522.58,1446.51,1464.14,1524.46,1538.04,1443.57,1509.30,1510.90,1535.93,1432.26,1575.96,1496.35
2026-06-04,1515.80,1439.65,1471.41,1532.11,1529.42,1437.65,1501.65,1519.53,1541.85,1424.99,1582.74,1503.21
2026-06-05,1521.75,1441.06,1481.01,1539.82,1520.82,1448.81,1500.24,1511.82,1532.25,1419.04,1571.58,1511.81
2026-06-06,1527.45,1450.41,1474.18,1539.18,1512.61,1443.52,1490.89,1512.46,1539.08,1413.34,1576.87,1520.02
2026-06-07,1527.45,1459.34,1467.66,1538.57,1504.78,1438.45,1481.96,1513.07,1545.60,1413.34,1581.94,1527.85
2026-06-09,1519.87,1454.05,1461.03,1543.80,1496.26,1432.14,1490.48,1519.38,1553.18,1408.10,1587.23,1534.48
2026-06-10,1512.64,1448.98,1454.69,1548.83,1488.12,1442.11,1498.62,1509.41,1560.42,1403.08,1592.30,1540.81
2026-06-11,1505.73,1444.10,1448.64,1537.65,1480.36,1435.64,1506.37,1515.88,1567.32,1414.25,1597.18,1546.87
2026-06-12,1497.74,1435.41,1442.17,1531.01,1490.33,1430.12,1514.36,1522.35,1557.36,1422.93,1603.82,1552.39
2026-06-13,1506.13,1443.13,1451.98,1540.66,1483.85,1424.82,1505.98,1512.54,1563.84,1415.22,1594.17,1557.69
2026-06-14,1498.12,1450.49,1445.36,1533.89,1493.66,1435.74,1513.98,1519.16,1554.03,1407.86,1600.94,1546.77
2026-06-16,1492.42,1444.65,1445.36,1533.89,1493.66,1435.74,1513.98,1519.16,1554.03,1407.86,1606.64,1552.61
2026-06-17,1498.51,1444.65,1445.36,1533.89,1493.66,1435.74,1513.98,1519.16,1554.03,1401.77,1606.64,1552.61
2026-06-19,1505.30,1437.77,1438.58,1523.68,1500.54,1445.94,1524.06,1524.55,1545.99,1396.38,1596.56,1560.64
2026-06-20,1505.30,1447.20,1438.58,1529.92,1491.11,1439.70,1517.71,1524.55,1554.33,1396.38,1602.91,1552.30
2026-06-21,1511.78,1456.20,1432.09,1519.89,1482.10,1449.74,1511.63,1529.73,1562.28,1391.20,1608.99,1544.35
2026-06-22,1511.78,1456.20,1432.09,1519.89,1482.10,1449.74,1511.63,1529.73,1562.28,1403.65,1596.54,1544.35
2026-06-23,1503.10,1449.65,1424.50,1526.44,1490.79,1457.33,1520.79,1522.07,1553.13,1415.68,1584.51,1552.01
2026-06-24,1503.10,1449.65,1433.25,1526.44,1490.79,1448.58,1513.53,1514.75,1560.38,1415.68,1584.51,1559.32
2026-06-25,1503.10,1449.65,1425.61,1526.44,1490.79,1456.22,1506.61,1514.75,1567.31,1427.29,1572.90,1559.32
2026-06-26,1503.10,1449.65,1425.61,1526.44,1490.79,1456.22,1506.61,1514.75,1567.31,1427.29,1580.59,1551.64
2026-06-27,1493.88,1458.88,1425.61,1526.44,1490.79,1456.22,1496.81,1514.75,1567.31,1437.09,1571.92,1560.30
2026-06-28,1501.08,1451.68,1419.86,1532.18,1497.99,1449.02,1503.45,1515.95,1566.11,1430.45,1563.66,1568.57
2026-06-30,1507.89,1458.95,1412.60,1523.40,1506.78,1442.21,1496.93,1522.02,1574.05,1424.38,1555.71,1575.09
2026-07-01,1507.89,1458.95,1412.60,1531.02,1499.16,1442.21,1490.70,1527.83,1581.63,1418.57,1548.13,1581.32
2026-07-02,1498.39,1457.89,1413.66,1531.02,1499.16,1451.70,1484.74,1527.83,1588.86,1418.57,1540.90,1587.28
2026-07-03,1489.46,1466.82,1423.59,1521.22,1489.23,1461.50,1486.02,1521.22,1595.47,1430.18,1539.62,1575.67
2026-07-04,1489.46,1466.82,1433.08,1511.86,1479.74,1470.86,1486.02,1530.91,1585.79,1441.34,1539.62,1564.50
2026-07-05,1496.94,1459.34,1442.15,1518.92,1470.67,1463.80,1495.25,1524.16,1592.54,1436.07,1530.40,1569.78
2026-07-07,1489.45,1467.60,1450.65,1526.41,1462.41,1455.30,1489.43,1533.21,1598.35,1430.19,1536.28,1560.74
2026-07-08,1498.30,1475.48,1458.75,1517.57,1454.53,1447.19,1499.86,1525.84,1587.92,1440.56,1525.91,1568.10
2026-07-09,1506.74,1467.00,1450.49,1509.12,1463.01,1455.46,1499.86,1525.84,1587.92,1440.56,1525.91,1568.10
2026-07-10,1497.74,1458.73,1459.82,1499.78,1472.01,1463.73,1492.46,1533.24,1576.72,1451.76,1534.87,1559.14
2026-07-11,1505.15,1450.85,1452.74,1506.87,1464.60,1471.61,1501.39,1524.31,1581.96,1446.52,1527.43,1566.58
