date,神,広,デ,巨,ヤ,中
2026-03-26,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
2026-03-27,1492.00,1508.00,1492.00,1508.00,1508.00,1492.00
2026-03-28,1500.37,1515.63,1484.37,1499.63,1515.63,1484.37
2026-03-29,1508.35,1522.91,1477.09,1491.65,1522.91,1477.09
2026-03-31,1515.63,1514.91,1469.80,1499.31,1530.91,1469.42
2026-04-01,1506.58,1514.91,1478.85,1506.63,1530.91,1462.11
2026-04-02,1513.95,1507.28,1471.49,1497.61,1538.55,1471.13
2026-04-03,1521.79,1499.44,1480.09,1489.01,1529.01,1480.66
2026-04-04,1529.28,1491.95,1472.30,1496.80,1535.91,1473.77
2026-04-05,1520.42,1500.81,1464.86,1504.24,1542.49,1467.18
2026-04-07,1528.93,1508.88,1472.91,1496.16,1533.98,1459.13
2026-04-08,1521.05,1500.59,1464.60,1504.45,1541.87,1467.45
2026-04-09,1529.53,1500.59,1464.60,1504.45,1533.39,1467.45
2026-04-10,1536.11,1500.59,1464.60,1513.12,1524.72,1460.86
2026-04-11,1542.41,1491.77,1473.42,1505.38,1532.46,1454.57
2026-04-12,1548.42,1483.34,1481.84,1498.01,1539.83,1448.55
2026-04-14,1539.27,1474.55,1475.17,1507.16,1546.51,1457.35
2026-04-15,1539.27,1482.15,1475.17,1507.16,1546.51,1449.74
2026-04-16,1530.53,1482.15,1468.79,1515.90,1552.89,1449.74
2026-04-17,1536.71,1473.84,1477.09,1524.75,1544.04,1443.57
2026-04-18,1542.61,1465.92,1485.02,1517.19,1551.60,1437.66
2026-04-19,1548.27,1458.36,1492.58,1509.98,1558.81,1432.01
2026-04-21,1539.00,1468.61,1501.85,1516.21,1548.56,1425.78
2026-04-22,1530.14,1462.42,1510.70,1522.18,1554.75,1419.81
2026-04-23,1530.14,1456.49,1510.70,1522.18,1560.67,1419.81
2026-04-24,1530.14,1456.49,1518.97,1513.91,1549.59,1430.89
2026-04-25,1528.47,1458.16,1510.85,1522.03,1538.96,1441.52
2026-04-26,1534.88,1451.76,1503.11,1529.77,1528.78,1451.71
2026-04-28,1526.73,1461.53,1493.93,1520.00,1536.92,1460.88
2026-04-29,1534.97,1454.86,1501.17,1526.67,1528.68,1453.64
2026-04-30,1542.82,1464.49,1508.09,1517.04,1520.83,1446.73
2026-05-01,1534.23,1472.08,1500.38,1525.63,1528.53,1439.14
2026-05-02,1542.03,1463.33,1493.03,1517.83,1535.89,1447.89
2026-05-03,1549.48,1463.33,1502.01,1510.39,1526.91,1447.89
2026-05-04,1539.20,1456.21,1509.12,1502.77,1534.53,1458.17
2026-05-05,1529.37,1457.42,1507.91,1511.50,1525.80,1468.00
2026-05-06,1535.97,1466.58,1498.76,1503.83,1533.47,1461.40
2026-05-08,1527.12,1460.10,1507.61,1494.85,1539.95,1470.37
2026-05-09,1518.67,1453.91,1516.06,1486.29,1546.14,1478.93
2026-05-10,1526.61,1463.98,1508.12,1494.12,1536.06,1471.10
2026-05-12,1534.83,1456.67,1515.27,1501.43,1527.85,1463.95
2026-05-13,1526.67,1449.70,1522.10,1508.40,1536.01,1457.13
2026-05-14,1526.67,1449.70,1520.62,1508.40,1536.01,1458.60
2026-05-15,1516.92,1459.44,1512.34,1516.69,1542.25,1452.36
2026-05-16,1523.61,1452.75,1504.44,1524.59,1532.23,1462.38
2026-05-17,1514.00,1462.36,1496.90,1532.12,1538.64,1455.97
2026-05-19,1520.68,1471.16,1488.11,1540.27,1530.49,1449.29
2026-05-20,1527.06,1463.55,1495.72,1540.27,1530.49,1442.91
2026-05-21,1527.06,1472.28,1486.98,1532.05,1538.72,1442.91
2026-05-22,1535.17,1463.61,1486.98,1523.93,1538.72,1451.59
2026-05-23,1542.91,1471.33,1480.16,1516.19,1545.53,1443.87
2026-05-24,1550.30,1478.70,1489.65,1508.81,1536.05,1436.50
2026-05-26,1540.85,1471.07,1482.26,1500.48,1528.44,1444.92
2026-05-27,1531.82,1463.78,1475.21,1508.54,1529.18,1452.95
2026-05-28,1523.21,1456.83,1484.47,1500.23,1521.89,1460.61
2026-05-29,1531.05,1449.89,1478.34,1508.54,1527.83,1470.00
2026-05-30,1538.54,1443.27,1472.48,1516.47,1533.52,1462.96
2026-05-31,1529.68,1436.94,1482.86,1508.03,1538.98,1456.24
2026-06-02,1529.68,1436.94,1473.29,1516.44,1530.31,1449.76
2026-06-03,1522.58,1446.51,1464.14,1524.46,1538.04,1443.57
2026-06-04,1515.80,1439.65,1471.41,1532.11,1529.42,1437.65
2026-06-05,1521.75,1441.06,1481.01,1539.82,1520.82,1448.81
2026-06-06,1527.45,1450.41,1474.18,1539.18,1512.61,1443.52
2026-06-07,1527.45,1459.34,1467.66,1538.57,1504.78,1438.45
2026-06-09,1519.87,1454.05,1461.03,1543.80,1496.26,1432.14
2026-06-10,1512.64,1448.98,1454.69,1548.83,1488.12,1442.11
