date,オ,ロ,ソ,楽,西,日
2026-03-26,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00
2026-03-27,1492.00,1508.00,1508.00,1508.00,1492.00,1492.00
2026-03-28,1500.37,1515.63,1515.63,1499.63,1484.37,1484.37
2026-03-29,1508.35,1506.91,1522.91,1491.65,1493.09,1477.09
2026-03-31,1500.00,1498.23,1530.20,1484.37,1501.44,1485.77
2026-04-01,1508.03,1505.94,1537.15,1477.42,1493.40,1478.06
2026-04-02,1515.70,1497.30,1527.78,1486.78,1485.74,1486.70
2026-04-03,1507.03,1506.00,1519.08,1494.75,1477.76,1495.36
2026-04-04,1498.76,1498.30,1526.78,1502.36,1470.16,1503.63
2026-04-05,1490.87,1490.96,1534.13,1501.62,1470.90,1511.52
2026-04-07,1498.88,1482.96,1524.69,1509.85,1480.34,1503.29
2026-04-08,1506.51,1475.32,1515.67,1501.70,1489.35,1511.44
2026-04-09,1513.79,1468.04,1523.07,1493.92,1481.96,1519.22
2026-04-10,1513.79,1476.36,1523.07,1493.92,1473.64,1519.22
2026-04-11,1505.34,1468.30,1530.98,1502.38,1481.70,1511.31
2026-04-12,1497.27,1460.60,1538.53,1510.45,1489.39,1503.76
2026-04-14,1505.09,1453.59,1529.88,1519.09,1481.57,1510.77
2026-04-15,1512.55,1462.90,1521.63,1527.34,1474.11,1501.47
2026-04-16,1519.66,1471.78,1529.77,1519.21,1466.99,1492.58
2026-04-17,1527.90,1464.87,1521.53,1526.13,1475.58,1483.99
2026-04-18,1519.75,1458.26,1529.68,1532.73,1467.78,1491.80
2026-04-19,1527.98,1467.95,1521.45,1523.04,1476.33,1483.25
2026-04-21,1518.61,1477.32,1512.42,1514.13,1485.36,1492.16
2026-04-22,1525.66,1470.27,1503.80,1505.62,1493.98,1500.67
2026-04-23,1525.66,1470.27,1511.57,1513.51,1486.21,1492.78
2026-04-24,1532.91,1470.27,1511.57,1513.51,1486.21,1485.54
2026-04-25,1539.83,1479.21,1502.62,1504.88,1494.84,1478.62
2026-04-26,1546.43,1479.21,1502.62,1496.65,1503.07,1472.01
2026-04-28,1537.43,1487.61,1511.63,1488.25,1494.35,1480.73
2026-04-29,1544.83,1495.63,1504.22,1480.24,1502.04,1473.04
2026-04-30,1544.83,1495.63,1504.22,1480.24,1493.37,1481.71
2026-05-01,1535.40,1487.58,1511.67,1472.79,1501.43,1491.15
2026-05-02,1542.38,1479.90,1518.78,1465.68,1509.11,1484.16
2026-05-03,1533.05,1488.57,1509.56,1474.89,1500.44,1493.49
2026-05-04,1540.04,1481.59,1501.35,1483.32,1508.65,1485.06
2026-05-05,1546.70,1474.92,1509.52,1491.36,1500.48,1477.02
2026-05-06,1553.07,1468.55,1501.31,1483.03,1508.69,1485.35
2026-05-08,1559.53,1461.30,1508.56,1475.62,1516.10,1478.89
2026-05-09,1549.71,1470.38,1499.48,1468.55,1523.17,1488.71
2026-05-10,1540.32,1463.05,1506.81,1461.79,1529.92,1498.10
2026-05-12,1546.54,1455.86,1499.34,1455.57,1537.39,1505.30
2026-05-13,1546.54,1448.99,1492.22,1455.57,1544.52,1512.17
2026-05-14,1536.49,1458.43,1492.22,1465.62,1544.52,1502.73
2026-05-15,1526.72,1468.19,1483.60,1474.23,1551.56,1495.69
2026-05-16,1517.39,1477.53,1475.39,1482.45,1542.28,1504.96
2026-05-17,1508.48,1486.44,1483.55,1474.28,1549.43,1497.82
2026-05-19,1515.90,1479.88,1476.12,1466.83,1555.99,1505.28
2026-05-20,1522.99,1489.60,1469.04,1459.71,1546.27,1512.40
2026-05-21,1522.99,1489.60,1469.04,1459.71,1546.27,1512.40
2026-05-22,1531.53,1496.92,1478.03,1452.39,1537.73,1503.40
2026-05-23,1523.67,1503.90,1486.61,1445.41,1545.59,1494.82
2026-05-24,1516.17,1494.56,1494.80,1454.75,1553.09,1486.63
2026-05-26,1523.56,1502.20,1503.12,1446.33,1560.69,1496.08
2026-05-27,1530.62,1509.48,1495.06,1438.30,1559.95,1505.11
2026-05-28,1521.35,1516.44,1503.37,1430.63,1567.25,1513.72
2026-05-29,1511.97,1508.59,1510.31,1424.69,1573.38,1505.41
2026-05-30,1519.01,1501.11,1516.93,1418.99,1579.24,1497.48
2026-05-31,1525.73,1509.97,1523.26,1413.54,1568.86,1505.92
2026-06-02,1517.32,1518.63,1529.73,1423.12,1568.86,1505.92
2026-06-03,1509.30,1510.90,1535.93,1432.26,1575.96,1496.35
2026-06-04,1501.65,1519.53,1541.85,1424.99,1582.74,1503.21
2026-06-05,1500.24,1511.82,1532.25,1419.04,1571.58,1511.81
2026-06-06,1490.89,1512.46,1539.08,1413.34,1576.87,1520.02
2026-06-07,1481.96,1513.07,1545.60,1413.34,1581.94,1527.85
2026-06-09,1490.48,1519.38,1553.18,1408.10,1587.23,1534.48
2026-06-10,1498.62,1509.41,1560.42,1403.08,1592.30,1540.81
2026-06-11,1506.37,1515.88,1567.32,1414.25,1597.18,1546.87
2026-06-12,1514.36,1522.35,1557.36,1422.93,1603.82,1552.39
2026-06-13,1505.98,1512.54,1563.84,1415.22,1594.17,1557.69
2026-06-14,1513.98,1519.16,1554.03,1407.86,1600.94,1546.77
2026-06-16,1513.98,1519.16,1554.03,1407.86,1606.64,1552.61
2026-06-17,1513.98,1519.16,1554.03,1401.77,1606.64,1552.61
2026-06-19,1524.06,1524.55,1545.99,1396.38,1596.56,1560.64
