チーム名,勝,敗,分,勝率,ゲーム差,残,マジック,前年,神,広,デ,巨,ヤ,中,オ,ロ,ソ,楽,西,日
神,69,55,1,.556,M16,18,M16,1,0,6,5,1,4,2,0,0,0,0,0,0
広,50,70,4,.417,17.0,19,,5,6,0,2,5,3,3,0,0,0,0,0,0
デ,62,63,3,.496,7.5,15,,2,5,2,0,3,3,2,0,0,0,0,0,0
巨,70,57,2,.551,0.5,14,,3,1,5,3,0,3,2,0,0,0,0,0,0
ヤ,56,69,2,.448,13.5,16,,6,4,3,3,3,0,3,0,0,0,0,0,0
中,55,74,2,.426,16.5,12,,4,2,3,2,2,3,0,0,0,0,0,0,0
オ,61,67,2,.477,21.0,13,,3,0,0,0,0,0,0,0,2,5,1,1,4
ロ,57,65,3,.467,22.0,18,,6,0,0,0,0,0,0,2,0,2,5,5,4
ソ,81,45,3,.643,M5,14,M5,1,0,0,0,0,0,0,5,2,0,5,2,0
楽,47,78,1,.376,33.5,17,,4,0,0,0,0,0,0,1,5,5,0,3,3
西,73,54,4,.575,8.5,12,,5,0,0,0,0,0,0,1,5,2,3,0,1
日,72,56,3,.562,10.0,12,,2,0,0,0,0,0,0,4,4,0,3,1,0
