チーム名,レーティング,神,広,デ,巨,ヤ,中,オ,ロ,ソ,楽,西,日
神,1543.37,―,62.89,57.51,56.81,68.10,61.97,62.15,56.44,43.14,62.00,46.46,45.47
広,1451.76,37.11,―,44.41,43.70,55.75,49.02,49.21,43.34,30.93,49.05,33.87,32.98
デ,1490.76,42.49,55.59,―,49.28,61.20,54.62,54.81,48.91,35.92,54.65,39.07,38.11
巨,1495.75,43.19,56.30,50.72,―,61.88,55.33,55.52,49.63,36.58,55.36,39.75,38.79
ヤ,1411.61,31.90,44.25,38.80,38.12,―,43.28,43.47,37.77,26.22,43.32,28.90,28.08
中,1458.57,38.03,50.98,45.38,44.67,56.72,―,50.19,44.30,31.77,50.03,34.76,33.85
オ,1457.25,37.85,50.79,45.19,44.48,56.53,49.81,―,44.11,31.61,49.84,34.58,33.68
ロ,1498.34,43.56,56.66,51.09,50.37,62.23,55.70,55.89,―,36.93,55.73,40.11,39.15
ソ,1591.33,56.86,69.07,64.08,63.42,73.78,68.23,68.39,63.07,―,68.26,53.36,52.35
楽,1458.33,38.00,50.95,45.35,44.64,56.68,49.97,50.16,44.27,31.74,―,34.73,33.82
西,1567.97,53.54,66.13,60.93,60.25,71.10,65.24,65.42,59.89,46.64,65.27,―,48.99
日,1574.96,54.53,67.02,61.89,61.21,71.92,66.15,66.32,60.85,47.65,66.18,51.01,―
